fold,speaker_id
0,YEM_AD_M026
0,YEM_AD_M018
0,YEM_AD_M042
0,YEM_AD_M037
0,YEM_AD_M017
0,YEM_AD_M022
0,YEM_AD_M048
0,YEM_BA_F009
0,YEM_BA_M028
0,YEM_BA_M045
0,YEM_BA_M026
0,YEM_BA_M020
0,YEM_BA_M033
0,YEM_BA_M034
0,YEM_HA_F001
0,YEM_HA_M026
0,YEM_HA_M033
0,YEM_HA_M017
0,YEM_HA_M019
0,YEM_HA_M047
0,YEM_HA_F002
0,YEM_SA_F002
0,YEM_SA_M018
0,YEM_SA_M049
0,YEM_SA_M050
0,YEM_SA_F012
0,YEM_SA_M022
0,YEM_SA_M025
0,YEM_SA_F001
0,YEM_SA_M032
0,YEM_SA_F013
0,YEM_ST_M042
0,YEM_ST_F005
0,YEM_ST_M038
0,YEM_ST_M036
0,YEM_ST_M016
0,YEM_ST_M033
0,YEM_ST_F015
0,YEM_TA_F002
0,YEM_TA_F014
0,YEM_TA_F004
0,YEM_TA_M023
0,YEM_TA_F009
0,YEM_TA_M031
0,YEM_TA_M040
0,YEM_TI_M021
0,YEM_TI_M024
0,YEM_TI_M046
0,YEM_TI_F003
0,YEM_TI_F014
0,YEM_TI_M040
0,YEM_TI_F010
0,YEM_TI_M031
1,YEM_AD_M026
1,YEM_AD_M027
1,YEM_AD_F002
1,YEM_AD_M044
1,YEM_AD_F003
1,YEM_AD_M040
1,YEM_AD_M036
1,YEM_BA_M041
1,YEM_BA_M039
1,YEM_BA_M036
1,YEM_BA_M025
1,YEM_BA_F012
1,YEM_BA_F011
1,YEM_BA_M047
1,YEM_HA_F001
1,YEM_HA_M050
1,YEM_HA_M035
1,YEM_HA_F006
1,YEM_HA_F008
1,YEM_HA_M036
1,YEM_HA_M041
1,YEM_SA_M016
1,YEM_SA_M045
1,YEM_SA_F008
1,YEM_SA_F010
1,YEM_SA_M039
1,YEM_SA_F011
1,YEM_SA_M029
1,YEM_SA_M028
1,YEM_SA_M034
1,YEM_SA_M042
1,YEM_ST_F004
1,YEM_ST_F001
1,YEM_ST_M040
1,YEM_ST_F011
1,YEM_ST_M027
1,YEM_ST_M033
1,YEM_ST_M019
1,YEM_TA_F015
1,YEM_TA_M020
1,YEM_TA_F004
1,YEM_TA_M024
1,YEM_TA_F010
1,YEM_TA_M035
1,YEM_TA_M048
1,YEM_TI_F006
1,YEM_TI_M023
1,YEM_TI_M037
1,YEM_TI_F001
1,YEM_TI_F015
1,YEM_TI_F014
