file_path,dialect,speaker_id,Unnamed: 0,FileName,ShowName,FullFileLength,SegmentID,SegmentLength,SegmentStart,SegmentEnd,SpeakerAge,SpeakerGender,SpeakerDialect,Speaker,Environment,GroundTruthText,ProcessedText,Category,split
SADA_NAJ/6k_SBA_100_1-seg_576_740-578_880.wav,SADA_NAJ,batch_1/6k_SBA_100_1.wav:Speaker4متحدث,181,batch_1/6k_SBA_100_1.wav,الجفاف يقتل الندى,603.8000000000001,6k_SBA_100_1-seg_576_740-578_880,2.1400645960585507,576.7400000000001,578.8800645960587,Elderly -- كبير في السن,Female,Najdi,Speaker4متحدث,Clean -- نظيف,كيف؟ كيف غلط يا أم ميزر؟ ,كيف كيف غلط يا ام ميزر,درامي,train
SADA_NAJ/6k_SBA_100_3-seg_218_810-221_450.wav,SADA_NAJ,batch_1/6k_SBA_100_3.wav:Speaker3متحدث,337,batch_1/6k_SBA_100_3.wav,الجفاف يقتل الندى,529.7599999999993,6k_SBA_100_3-seg_218_810-221_450,2.6400000000001,218.8099999999995,221.4499999999996,Adult -- بالغ,Male,Najdi,Speaker3متحدث,Clean -- نظيف,السبب إللي خلّى ميزر شوكة,السبب اللي خلى ميزر شوكة,درامي,train
SADA_HIJ/6k_SBA_101_0-seg_319_050-321_690.wav,SADA_HIJ,batch_1/6k_SBA_101_0.wav:Speaker2متحدث,419,batch_1/6k_SBA_101_0.wav,الجفاف يقتل الندى,600.33,6k_SBA_101_0-seg_319_050-321_690,2.6399999999999864,319.05,321.69,Elderly -- كبير في السن,Male,Hijazi,Speaker2متحدث,Clean -- نظيف,إلى أعطيتني حصة لوليدي هرشال.,الى اعطيتني حصة لوليدي هرشال,درامي,train
SADA_KHA/6k_SBA_101_0-seg_289_000-294_710.wav,SADA_KHA,batch_1/6k_SBA_101_0.wav:Speaker1متحدث,413,batch_1/6k_SBA_101_0.wav,الجفاف يقتل الندى,600.33,6k_SBA_101_0-seg_289_000-294_710,5.70999999999998,289.0,294.71,Elderly -- كبير في السن,Male,Khaliji,Speaker1متحدث,Noisy -- ضوضاء,أتنازل عن فلوسي حق العمال وادفعها أنا لهم من جيبي؟ انت مجنون,اتنازل عن فلوسي حق العمال وادفعها انا لهم من جيبي انت مجنون,درامي,train
SADA_HIJ/6k_SBA_101_1-seg_14_390-18_720.wav,SADA_HIJ,batch_1/6k_SBA_101_1.wav:Speaker1متحدث,469,batch_1/6k_SBA_101_1.wav,الجفاف يقتل الندى,601.73,6k_SBA_101_1-seg_14_390-18_720,4.329999999999927,14.3900000000001,18.720000000000027,Adult -- بالغ,Male,Hijazi,Speaker1متحدث,Clean -- نظيف,مستحيل مستحيل بنتي حصة ما حد يشوفها منكم وأنا حي,مستحيل مستحيل بنتي حصة ما حد يشوفها منكم وانا حي,درامي,train
SADA_HIJ/6k_SBA_101_2-seg_164_080-170_890.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker4متحدث,581,batch_1/6k_SBA_101_2.wav,الجفاف يقتل الندى,601.9000000000005,6k_SBA_101_2-seg_164_080-170_890,6.809999999999945,164.0800000000006,170.89000000000055,Adult -- بالغ,Female,Hijazi,Speaker4متحدث,Clean -- نظيف,لا يا وليدي هذا مو بكلامو لعمتك أبوك الحين يعتقد إنكم تبون تقضون عليه وإحنا شاملنا معاكم باعتقاده هذا.,لا يا وليدي هذا مو بكلامو لعمتك ابوك الحين يعتقد انكم تبون تقضون عليه واحنا شاملنا معاكم باعتقاده هذا,درامي,train
SADA_HIJ/6k_SBA_101_2-seg_218_000-221_130.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker3متحدث,593,batch_1/6k_SBA_101_2.wav,الجفاف يقتل الندى,601.9000000000005,6k_SBA_101_2-seg_218_000-221_130,3.130000000000109,218.00000000000043,221.13000000000056,Adult -- بالغ,Male,Hijazi,Speaker3متحدث,Clean -- نظيف,أمي أمي طول عمرها تبرر تصرفات أبوي.,امي امي طول عمرها تبرر تصرفات ابوي,درامي,train
SADA_HIJ/6k_SBA_101_2-seg_196_540-198_800.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker3متحدث,587,batch_1/6k_SBA_101_2.wav,الجفاف يقتل الندى,601.9000000000005,6k_SBA_101_2-seg_196_540-198_800,2.259999999999991,196.5400000000004,198.8000000000004,Adult -- بالغ,Male,Hijazi,Speaker3متحدث,Clean -- نظيف,أبوي وأعرفه زين ما في فايده.,ابوي واعرفه زين ما في فايده,درامي,train
SADA_HIJ/6k_SBA_101_2-seg_226_520-229_590.wav,SADA_HIJ,batch_1/6k_SBA_101_2.wav:Speaker5متحدث,595,batch_1/6k_SBA_101_2.wav,الجفاف يقتل الندى,601.9000000000005,6k_SBA_101_2-seg_226_520-229_590,3.070000000000164,226.52000000000044,229.5900000000006,Adult -- بالغ,Female,Hijazi,Speaker5متحدث,Clean -- نظيف,لا، لا يازيد لا يا ولدي.,لا لا يازيد لا يا ولدي,درامي,train
SADA_HIJ/6k_SBA_102_2-seg_467_840-473_440.wav,SADA_HIJ,batch_1/6k_SBA_102_2.wav:Speaker3متحدث,892,batch_1/6k_SBA_102_2.wav,الجفاف يقتل الندى,590.8899999999999,6k_SBA_102_2-seg_467_840-473_440,5.600000000000137,467.8399999999999,473.44000000000005,Young Adult -- مراهق,Female,Hijazi,Speaker3متحدث,Clean -- نظيف,ياربي الوقت راح وللحين لا رجع لا زيد ولا ميزة يمه,ياربي الوقت راح وللحين لا رجع لا زيد ولا ميزة يمه,درامي,train
